time,open,high,low,close,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,,tf,tf,tr,tr,Range,Range,Border,Border,Border,avg,Volume,Volume MA,TSF,,,,FAST,Plot,SLOW,Buy,Sell,Tail,Tail+,Tail-,%K,Support Line,OTT,Buy,Sell,Plot,0,1,2,3,3,,,,,,,Buy,Sell,StopBuy,StopSell,HOTT,LOTT,Buy,Sell
1639495800,292.48,293.29,291.23,293.23,283.6976746398302,NaN,NaN,NaN,NaN,NaN,292.5575,NaN,NaN,293.5978776674888,287.13244665022495,287.13244665022495,293.5978776674888,291.9815199131728,288.7488044045409,290.36516215885683,283.2837833680513,13719,14353.1,0.38947161581269296,1.1521465360511625,-1.1521465360511625,2.449164977988949,22.30628821728449,22.30628821728449,16.37063234728153,NaN,NaN,-0.9075830150883156,0.5941557076553406,-0.7348549065656774,1049.5120502236725,NaN,1049.2569400064067,NaN,NaN,1.3245042393665476,1.9548792228126504,4.124031806873787,3.588134168820858,2.446264359792393,2.1623024852177153,0,1,-1,2,-2,1.3942636759847484,NaN,NaN,0,NaN,0.0028708059315111006,0.0028955221938298257,NaN,NaN
1639499400,293.15,293.61,292.52,293.32,283.89169064044455,NaN,NaN,NaN,NaN,NaN,293.15,NaN,NaN,293.9050380007047,287.70923998590706,287.70923998590706,293.9050380007047,292.35608849700526,289.2581894896065,290.8071389933059,283.2837833680513,14371,14677.55,0.20890559960511587,0.9784157748078464,-0.9784157748078464,2.355445440904491,23.274590321377957,23.274590321377957,17.071547216159658,NaN,NaN,-0.25983121251471236,0.5930911270638501,-0.7384542583505105,1049.91503221565,NaN,1049.2569400064067,NaN,NaN,1.262907434391747,2.1383721347506475,3.67000807786126,3.254397328423286,2.3815667722851193,2.2471494716458076,0,1,-1,2,-2,1.3941569030370633,NaN,NaN,NaN,NaN,0.0028740477861550462,0.002901732682753824,NaN,NaN
1639503000,293.21,295.3,292.68,295.12,284.0395816060549,NaN,NaN,NaN,NaN,NaN,294.0775,NaN,NaN,295.62774685774684,288.7450628450632,288.7450628450632,295.62774685774684,293.90707585457596,290.4657338482341,292.18640485140503,283.2837833680513,14944,15048.2,0.6146168144676897,0.8876283710768657,-0.8876283710768657,2.8328513188612847,25.15067107670606,25.15067107670606,18.947017231478043,NaN,NaN,-0.26431963157961175,0.578579886222908,-0.7396072908713737,1050.4209078961214,NaN,1049.2569400064067,NaN,NaN,1.3179245912841318,3.032644928381658,4.445670412645182,3.665955650115636,2.6992618456099913,2.3813893117438765,0,1,-1,2,-2,1.3940501691246416,NaN,NaN,NaN,NaN,0.0028776865637818467,0.0029102076291755903,NaN,NaN
1639506600,294.94,296.38,294.66,296,284.25182090025964,NaN,NaN,NaN,NaN,NaN,295.495,NaN,NaN,296.71006873521156,289.77862529576845,289.77862529576845,296.71006873521156,294.9772078753508,291.5114861556292,293.24434701549,283.2837833680513,17772,15609.75,0.6210263835263169,0.8909423029246695,-0.8909423029246695,2.9959288771356007,26.912694538320025,26.912694538320025,20.702084098195016,NaN,NaN,0.07525208493902803,0.565182748730174,-0.7349063996536959,1050.8544776186216,NaN,1049.2569400064067,NaN,NaN,1.3841766455349456,2.737003494290062,4.238925827808812,3.5940973301400025,2.7751145106853334,2.513380571503758,0,1,-1,2,-2,1.3939434551935657,NaN,NaN,NaN,NaN,0.0028820547608491114,0.0029180139096593723,NaN,NaN
1639510200,295.59,295.82,295.11,295.55,284.49320364217635,NaN,NaN,NaN,NaN,NaN,295.5175,NaN,NaN,NaN,NaN,289.77862529576845,296.71006873521156,294.9772078753508,291.5114861556292,293.24434701549,283.2837833680513,9457,15163.6,0.1767326453504581,0.8874975357312247,-0.8874975357312247,2.7249661117097146,27.055154476888845,27.055154476888845,20.86715365718605,NaN,NaN,-0.15865314292928903,0.5605878934311744,-0.7368620947928374,1051.1680226914261,NaN,1049.2569400064067,NaN,NaN,1.3089163579861545,2.221478383158838,3.364103492040337,3.1753610270635213,2.569922306463208,2.5605138201835906,0,1,-1,2,-2,-1.6369846766482254,NaN,NaN,NaN,NaN,0.0028875890070495756,0.0029227066276357556,NaN,NaN
1639513800,295.52,295.62,294.47,295.2,284.7072290043183,NaN,NaN,NaN,NaN,NaN,295.2025,NaN,NaN,NaN,NaN,289.77862529576845,296.71006873521156,294.9772078753508,291.5114861556292,293.24434701549,283.2837833680513,30891,15552.7,-0.15479416698934403,0.8556479003807496,-0.8556479003807496,2.6033158388655275,26.34478595226321,26.34478595226321,20.86715365718605,NaN,NaN,-0.47670391073326307,0.5623170565044356,-0.7425699737353483,1051.4451919990709,NaN,1049.2569400064067,NaN,NaN,1.3705776520954993,0.5978985845313283,2.666558668944648,2.860405441002912,2.4132491163717873,2.535480956400598,0,1,-1,2,-2,-1.6368280396270223,NaN,NaN,NaN,NaN,0.0028937656746582745,0.0029261189832619997,NaN,NaN
1639578600,295.56,295.6,292.96,295.19,284.84097864754597,NaN,NaN,NaN,NaN,NaN,294.82750000000004,NaN,NaN,NaN,NaN,289.77862529576845,296.71006873521156,294.9772078753508,291.5114861556292,293.24434701549,283.2837833680513,14383,15847.75,-0.2923056820547133,0.7980441554712812,-0.7980441554712812,2.407632263660009,25.847224333888704,25.847224333888704,20.86715365718605,NaN,NaN,-1.6376640645895648,0.613591300177919,-0.8408477553333986,1051.8184232135932,NaN,1049.2569400064067,NaN,NaN,0.8202732913587005,0.1296871417536633,2.48426126509029,2.7115335650765218,2.340006071662643,2.4803540192703615,0,1,-1,2,-2,-1.636667420697209,NaN,NaN,NaN,NaN,0.002899514310194068,0.0029299912460775263,NaN,NaN
1639582200,295.28,295.7,294.49,294.99,285.0443885236061,NaN,NaN,NaN,NaN,NaN,295.115,NaN,NaN,NaN,NaN,289.77862529576845,296.71006873521156,294.9772078753508,291.5114861556292,293.24434701549,283.2837833680513,11399,15805.4,-0.5065547016122703,0.7372095744712872,-0.7372095744712872,2.8233817839590225,25.00992143124833,25.00992143124833,20.86715365718605,NaN,NaN,-0.05989120149195605,0.6055300568151719,-0.840222406040006,1052.2274975009295,NaN,1049.2569400064067,NaN,NaN,0.9455454985550193,-0.2972602918506163,1.840619942654256,2.4967090551979116,2.2343861545706822,2.4050803188128826,0,1,-1,2,-2,-1.6365111290541376,NaN,NaN,NaN,NaN,0.002904592494758767,0.0029332947412308197,NaN,NaN
1639585800,294.89,295.7,294.74,295.64,285.26769983303416,NaN,NaN,NaN,NaN,NaN,295.24249999999995,NaN,NaN,NaN,NaN,289.77862529576845,296.71006873521156,294.9772078753508,291.5114861556292,293.24434701549,283.2837833680513,7967,15485.35,-0.38824567846351715,0.6589978121359079,-0.6589978121359079,2.7383931053655886,25.04035314149364,25.04035314149364,20.86715365718605,NaN,NaN,-0.06760399908695955,0.6043513050853935,-0.8406532733361074,1052.5822667541395,NaN,1049.2569400064067,NaN,NaN,0.8229697040635182,0.21394718107182498,2.0377822331502715,2.749041477828057,2.29996747287018,2.359983682212837,0,1,-1,2,-2,1.5973683102723972,NaN,1.8,0,NaN,0.002909322791255366,0.002936630218679893,NaN,NaN
1639589400,295.67,296.45,295.41,296.18,285.4909819885137,NaN,NaN,NaN,NaN,NaN,295.9275,NaN,NaN,296.71006873521156,290.71960689678093,290.71960689678093,296.71006873521156,295.21245327560393,292.21722235638856,293.71483781599625,283.2837833680513,10672,15660.6,-0.3244166192373007,0.48884310576878187,-0.48884310576878187,1.9482307586396796,25.5248921173811,25.5248921173811,20.86715365718605,NaN,NaN,0.0075311722061186075,0.6005673516412264,-0.8404428400289363,1052.9221312510333,NaN,1049.3895807961553,NaN,NaN,0.8470306922537145,1.4142003624566257,2.249223195871175,2.9883537875614947,2.3382274220296333,2.3432704580170247,0,1,-1,2,-2,1.5972208163350785,NaN,NaN,NaN,0,0.0029136425816686283,0.002940124394700866,NaN,NaN
1639593000,296.36,296.36,293.5,293.76,285.56917251975653,NaN,NaN,NaN,NaN,NaN,294.995,NaN,NaN,NaN,NaN,290.71960689678093,296.71006873521156,295.21245327560393,292.21722235638856,293.71483781599625,283.2837833680513,12367,15763.3,-1.2789351851851483,0.7487524173900162,-0.7487524173900162,0.8098833218943113,20.427688436570236,20.427688436570236,26.306652684928295,NaN,NaN,-0.1931570621233832,0.6001044723617571,-0.8412293987681759,1052.952231479428,NaN,1049.754962804665,NaN,NaN,0.886475888380341,-2.0237822391199463,-0.24053029024807676,1.4674935438581822,1.8322521743246531,2.2113375810449787,0,1,-1,2,-2,-1.0427838335904183,NaN,NaN,NaN,NaN,0.002917678263671854,0.0029400868258610126,NaN,NaN
1639596600,293.67,295,293.55,295,285.746592735893,NaN,NaN,NaN,NaN,NaN,294.305,NaN,NaN,NaN,NaN,290.71960689678093,296.71006873521156,295.21245327560393,292.21722235638856,293.71483781599625,283.2837833680513,12375,15516.45,-0.7937853107343965,0.8421713702987784,-0.8421713702987784,1.2910314517236676,18.42120562903895,18.42120562903895,24.316785065538255,NaN,NaN,-0.08906753257487804,0.5960947715776576,-0.8418707128585653,1053.0549014770777,NaN,1050.1027638657317,NaN,NaN,0.9481189237205884,-0.193549624956874,0.41355920550619246,2.066761766791059,2.0220787484210594,2.1310396536459875,0,1,-1,2,-2,0.7019991995483099,NaN,NaN,NaN,NaN,0.002921556216702084,0.0029401277777513714,NaN,NaN
